# step avg_reward percentage_opt_action
265 1.287712 0.590000
266 1.249310 0.589000
267 1.250930 0.601000
268 1.259119 0.584000
269 1.261697 0.594000
270 1.199653 0.592000
271 1.255457 0.595000
272 1.222992 0.587000
273 1.190384 0.593000
274 1.280806 0.588000
275 1.233885 0.591000
276 1.240688 0.580000
277 1.265589 0.603000
278 1.226492 0.597000
279 1.282303 0.610000
280 1.260968 0.597000
281 1.214388 0.587000
282 1.311444 0.604000
283 1.274491 0.605000
284 1.317771 0.597000
285 1.216209 0.596000
286 1.215500 0.592000
287 1.266246 0.604000
288 1.282037 0.611000
289 1.222874 0.595000
290 1.222871 0.598000
291 1.227540 0.577000
292 1.265652 0.601000
293 1.238001 0.587000
294 1.252000 0.602000
295 1.154677 0.600000
296 1.190546 0.599000
297 1.276580 0.625000
298 1.259218 0.615000
299 1.260368 0.614000
300 1.261624 0.618000
301 1.242952 0.611000
302 1.219245 0.620000
303 1.239700 0.619000
304 1.266703 0.624000
305 1.288379 0.620000
306 1.247535 0.615000
307 1.273226 0.631000
308 1.281458 0.623000
309 1.250817 0.614000
310 1.177470 0.618000
311 1.267434 0.620000
312 1.267991 0.620000
313 1.247566 0.614000
314 1.256482 0.616000
315 1.299609 0.635000
316 1.271014 0.605000
317 1.252459 0.609000
318 1.251043 0.617000
319 1.329229 0.623000
320 1.271365 0.617000
321 1.246527 0.623000
322 1.292888 0.624000
323 1.301102 0.625000
324 1.240796 0.618000
325 1.250681 0.628000
326 1.291583 0.625000
327 1.203498 0.612000
328 1.273047 0.626000
329 1.289012 0.622000
330 1.279934 0.621000
331 1.286792 0.618000
332 1.269407 0.614000
333 1.269186 0.633000
334 1.289726 0.623000
335 1.268189 0.616000
336 1.315630 0.620000
337 1.299322 0.628000
338 1.221716 0.614000
339 1.289822 0.631000
340 1.267200 0.622000
341 1.263730 0.623000
342 1.284931 0.629000
343 1.258004 0.638000
344 1.276767 0.622000
345 1.246220 0.624000
346 1.247512 0.620000
347 1.244284 0.626000
348 1.243717 0.626000
349 1.284049 0.626000
350 1.291493 0.629000
351 1.280301 0.628000
352 1.280384 0.627000
353 1.287539 0.626000
354 1.261456 0.623000
355 1.277392 0.624000
356 1.314869 0.632000
357 1.302776 0.634000
358 1.300095 0.622000
359 1.242022 0.615000
360 1.285005 0.631000
361 1.257230 0.627000
362 1.246581 0.627000
363 1.221390 0.628000
364 1.282752 0.618000
365 1.278196 0.624000
366 1.261760 0.625000
367 1.355911 0.639000
368 1.236838 0.626000
369 1.261121 0.626000
370 1.308851 0.635000
371 1.289088 0.641000
372 1.272799 0.632000
373 1.276040 0.623000
374 1.239912 0.628000
375 1.252564 0.628000
376 1.354515 0.647000
377 1.233747 0.632000
378 1.279826 0.625000
379 1.263721 0.650000
380 1.284905 0.647000
381 1.200045 0.621000
382 1.280138 0.619000
383 1.257647 0.628000
384 1.216240 0.642000
385 1.237116 0.636000
386 1.333678 0.641000
387 1.296132 0.656000
388 1.296871 0.646000
389 1.298622 0.639000
390 1.300665 0.652000
391 1.260424 0.654000
392 1.262491 0.636000
393 1.305267 0.641000
394 1.295476 0.644000
395 1.321953 0.642000
396 1.283018 0.645000
397 1.274414 0.650000
398 1.316657 0.645000
399 1.251084 0.650000
400 1.295015 0.637000
401 1.278416 0.646000
402 1.252427 0.655000
403 1.284618 0.642000
404 1.244931 0.652000
405 1.247188 0.647000
406 1.267081 0.660000
407 1.306587 0.651000
408 1.279153 0.650000
409 1.358355 0.659000
410 1.272767 0.655000
411 1.266567 0.661000
412 1.263629 0.643000
413 1.317294 0.658000
414 1.364506 0.656000
415 1.317641 0.659000
416 1.277291 0.654000
417 1.369529 0.666000
418 1.328533 0.666000
419 1.313982 0.654000
420 1.295792 0.649000
421 1.321734 0.662000
422 1.342784 0.667000
423 1.300548 0.653000
424 1.258678 0.649000
425 1.293657 0.658000
426 1.308623 0.655000
427 1.347970 0.659000
428 1.277521 0.656000
429 1.242022 0.653000
430 1.323820 0.664000
431 1.265767 0.655000
432 1.248478 0.667000
433 1.304225 0.657000
434 1.290825 0.655000
435 1.289845 0.651000
436 1.296644 0.653000
437 1.339502 0.678000
438 1.304171 0.670000
439 1.288451 0.668000
440 1.301841 0.662000
441 1.266722 0.668000
442 1.332227 0.662000
443 1.303836 0.666000
444 1.345304 0.667000
445 1.315366 0.661000
446 1.298716 0.663000
447 1.310869 0.673000
448 1.276529 0.661000
449 1.315624 0.653000
450 1.272994 0.663000
451 1.278339 0.672000
452 1.304493 0.655000
453 1.284587 0.679000
454 1.335425 0.676000
455 1.290377 0.661000
456 1.311977 0.672000
457 1.289973 0.660000
458 1.261232 0.668000
459 1.292564 0.660000
460 1.312343 0.687000
461 1.299844 0.665000
462 1.302488 0.686000
463 1.340463 0.689000
464 1.265336 0.655000
465 1.371646 0.671000
466 1.339994 0.666000
467 1.320717 0.687000
468 1.296491 0.657000
469 1.353487 0.689000
470 1.233027 0.666000
471 1.315091 0.684000
472 1.276275 0.661000
473 1.305655 0.687000
474 1.323522 0.679000
475 1.305801 0.680000
476 1.418862 0.700000
477 1.284264 0.668000
478 1.341723 0.677000
479 1.349613 0.683000
480 1.413613 0.693000
481 1.277038 0.676000
482 1.272614 0.680000
483 1.288237 0.695000
484 1.334998 0.682000
485 1.295844 0.691000
486 1.355841 0.682000
487 1.324526 0.679000
488 1.305073 0.669000
489 1.284481 0.682000
490 1.339012 0.676000
491 1.301866 0.673000
492 1.378038 0.691000
493 1.433579 0.685000
494 1.319720 0.688000
495 1.355905 0.696000
496 1.330655 0.674000
497 1.348194 0.672000
498 1.350913 0.687000
499 1.323907 0.695000
500 1.310615 0.677000
501 1.348128 0.700000
502 1.309923 0.688000
503 1.329826 0.688000
504 1.343956 0.681000
505 1.289634 0.694000
506 1.324469 0.689000
507 1.289395 0.692000
