# step avg_reward percentage_opt_action
265 1.157793 0.547000
266 1.192802 0.542000
267 1.167239 0.550000
268 1.230539 0.553000
269 1.166391 0.557000
270 1.219937 0.554000
271 1.172336 0.551000
272 1.172613 0.559000
273 1.194674 0.552000
274 1.223688 0.547000
275 1.239714 0.552000
276 1.152787 0.552000
277 1.260989 0.566000
278 1.180028 0.564000
279 1.223273 0.552000
280 1.205601 0.553000
281 1.182340 0.558000
282 1.147996 0.557000
283 1.188810 0.553000
284 1.255706 0.561000
285 1.229067 0.559000
286 1.234329 0.580000
287 1.179126 0.562000
288 1.172311 0.557000
289 1.279426 0.567000
290 1.249735 0.583000
291 1.252914 0.572000
292 1.194314 0.568000
293 1.204269 0.570000
294 1.210844 0.581000
295 1.229310 0.573000
296 1.181489 0.571000
297 1.190042 0.571000
298 1.157329 0.566000
299 1.213031 0.580000
300 1.289957 0.577000
301 1.240357 0.571000
302 1.249533 0.583000
303 1.243910 0.574000
304 1.187695 0.566000
305 1.243152 0.570000
306 1.174336 0.568000
307 1.178126 0.564000
308 1.231999 0.585000
309 1.252942 0.554000
310 1.204736 0.571000
311 1.209111 0.571000
312 1.278822 0.580000
313 1.206161 0.579000
314 1.223735 0.568000
315 1.197246 0.568000
316 1.196282 0.571000
317 1.163854 0.579000
318 1.173831 0.571000
319 1.183720 0.559000
320 1.217417 0.575000
321 1.099415 0.553000
322 1.132314 0.589000
323 1.283724 0.591000
324 1.237815 0.573000
325 1.202587 0.583000
326 1.179043 0.574000
327 1.192350 0.567000
328 1.240421 0.574000
329 1.186363 0.593000
330 1.228559 0.588000
331 1.263570 0.590000
332 1.294972 0.591000
333 1.148030 0.568000
334 1.192370 0.589000
335 1.282625 0.593000
336 1.218495 0.586000
337 1.189914 0.588000
338 1.243181 0.582000
339 1.212429 0.578000
340 1.206759 0.581000
341 1.263719 0.605000
342 1.223948 0.581000
343 1.251195 0.588000
344 1.252493 0.605000
345 1.243381 0.595000
346 1.267455 0.588000
347 1.212517 0.595000
348 1.203397 0.581000
349 1.199760 0.592000
350 1.255671 0.589000
351 1.247006 0.581000
352 1.217494 0.600000
353 1.266237 0.593000
354 1.209379 0.592000
355 1.303379 0.601000
356 1.188220 0.591000
357 1.193639 0.600000
358 1.262839 0.579000
359 1.283335 0.584000
360 1.165467 0.585000
361 1.226619 0.594000
362 1.197707 0.593000
363 1.267623 0.590000
364 1.276996 0.605000
365 1.220045 0.589000
366 1.239792 0.584000
367 1.197874 0.602000
368 1.290001 0.597000
369 1.259222 0.592000
370 1.259437 0.599000
371 1.242267 0.600000
372 1.204238 0.596000
373 1.256361 0.597000
374 1.286346 0.595000
375 1.203374 0.606000
376 1.210305 0.604000
377 1.219206 0.603000
378 1.226501 0.595000
379 1.264491 0.603000
380 1.222098 0.604000
381 1.204806 0.602000
382 1.156993 0.585000
383 1.280939 0.601000
384 1.254281 0.600000
385 1.288596 0.598000
386 1.279660 0.591000
387 1.270377 0.624000
388 1.241380 0.604000
389 1.250071 0.608000
390 1.269775 0.601000
391 1.217477 0.595000
392 1.220325 0.597000
393 1.238105 0.605000
394 1.307805 0.615000
395 1.255510 0.606000
396 1.287990 0.610000
397 1.243775 0.602000
398 1.219906 0.602000
399 1.237687 0.604000
400 1.270411 0.615000
401 1.206729 0.604000
402 1.255363 0.616000
403 1.273457 0.616000
404 1.281919 0.616000
405 1.345036 0.608000
406 1.313243 0.626000
407 1.282621 0.623000
408 1.291916 0.637000
409 1.238814 0.629000
410 1.289152 0.629000
411 1.252354 0.620000
412 1.252207 0.618000
413 1.216390 0.608000
414 1.240281 0.624000
415 1.278328 0.621000
416 1.240225 0.630000
417 1.249029 0.633000
418 1.300980 0.627000
419 1.225853 0.618000
420 1.211031 0.633000
421 1.275479 0.636000
422 1.312253 0.630000
423 1.218295 0.622000
424 1.305729 0.636000
425 1.259385 0.629000
426 1.252230 0.621000
427 1.315152 0.648000
428 1.290444 0.628000
429 1.305542 0.638000
430 1.282730 0.637000
431 1.274228 0.634000
432 1.263424 0.642000
433 1.226082 0.644000
434 1.359734 0.639000
435 1.220143 0.637000
436 1.315172 0.646000
437 1.217307 0.630000
438 1.267398 0.653000
439 1.286371 0.643000
440 1.263963 0.640000
441 1.225209 0.630000
442 1.255535 0.634000
443 1.293874 0.640000
444 1.279201 0.638000
445 1.261258 0.635000
446 1.294236 0.645000
447 1.289112 0.634000
448 1.294471 0.646000
449 1.346471 0.654000
450 1.251007 0.644000
451 1.358035 0.645000
452 1.292280 0.645000
453 1.259848 0.635000
454 1.334984 0.630000
455 1.258432 0.640000
456 1.321192 0.644000
457 1.324872 0.631000
458 1.271232 0.646000
459 1.253703 0.633000
460 1.259939 0.644000
461 1.237477 0.651000
462 1.349559 0.652000
463 1.243902 0.646000
464 1.307103 0.627000
465 1.309334 0.641000
466 1.261133 0.650000
467 1.280718 0.651000
468 1.239442 0.647000
469 1.345482 0.645000
470 1.315380 0.649000
471 1.287254 0.647000
472 1.212710 0.655000
473 1.325382 0.658000
474 1.327945 0.646000
475 1.280821 0.656000
476 1.250941 0.637000
477 1.345606 0.660000
478 1.294017 0.652000
479 1.289935 0.647000
480 1.214256 0.641000
481 1.321695 0.642000
482 1.307720 0.662000
483 1.302043 0.652000
484 1.304802 0.648000
485 1.244763 0.646000
486 1.355472 0.661000
487 1.235535 0.647000
488 1.244441 0.643000
489 1.273530 0.638000
490 1.265609 0.641000
491 1.264687 0.649000
492 1.296059 0.660000
493 1.251005 0.641000
494 1.285661 0.658000
495 1.300522 0.643000
496 1.277423 0.652000
497 1.344229 0.649000
498 1.306991 0.661000
499 1.304374 0.661000
500 1.282151 0.657000
501 1.310253 0.648000
502 1.291746 0.659000
503 1.282477 0.668000
504 1.257237 0.644000
505 1.320305 0.665000
506 1.309524 0.655000
507 1.275587 0.654000
508 1.241203 0.653000
509 1.248229 0.655000
510 1.347184 0.671000
511 1.315367 0.674000
512 1.283549 0.668000
513 1.290496 0.661000
514 1.324642 0.664000
515 1.254453 0.667000
516 1.250901 0.644000
517 1.243680 0.655000
518 1.279953 0.678000
519 1.303164 0.669000
520 1.259826 0.657000
521 1.275143 0.647000
522 1.301908 0.677000
523 1.315412 0.663000
524 1.302889 0.674000
525 1.307262 0.668000
526 1.341461 0.658000
527 1.242430 0.659000
528 1.282382 0.655000
529 1.270737 0.656000
530 1.268843 0.669000
531 1.333219 0.677000
532 1.287786 0.685000
533 1.296850 0.664000
534 1.311409 0.664000
535 1.288630 0.665000
536 1.338467 0.676000
537 1.361302 0.686000
538 1.303811 0.675000
539 1.347403 0.670000
540 1.312084 0.671000
541 1.304572 0.671000
542 1.297893 0.666000
