# step avg_reward percentage_opt_action
265 1.243951 0.564000
266 1.190610 0.556000
267 1.229831 0.554000
268 1.190754 0.549000
269 1.140997 0.560000
270 1.157513 0.554000
271 1.217433 0.548000
272 1.305159 0.566000
273 1.211183 0.556000
274 1.247956 0.541000
275 1.190807 0.557000
276 1.220625 0.547000
277 1.195511 0.567000
278 1.178858 0.546000
279 1.238095 0.552000
280 1.245884 0.573000
281 1.172367 0.543000
282 1.320337 0.571000
283 1.287057 0.570000
284 1.166880 0.551000
285 1.215910 0.559000
286 1.254195 0.568000
287 1.230345 0.563000
288 1.240026 0.575000
289 1.197567 0.560000
290 1.241938 0.558000
291 1.248163 0.553000
292 1.210992 0.551000
293 1.213402 0.561000
294 1.200245 0.563000
295 1.175362 0.554000
296 1.289489 0.570000
297 1.237902 0.546000
298 1.225263 0.570000
299 1.265945 0.561000
300 1.277909 0.564000
301 1.247526 0.555000
302 1.240262 0.559000
303 1.228978 0.561000
304 1.284389 0.577000
305 1.185022 0.564000
306 1.261557 0.558000
307 1.194145 0.555000
308 1.127453 0.568000
309 1.242284 0.561000
310 1.184666 0.562000
311 1.292698 0.571000
312 1.191200 0.568000
313 1.201547 0.554000
314 1.214092 0.558000
315 1.276015 0.572000
316 1.223940 0.561000
317 1.212264 0.572000
318 1.216631 0.573000
319 1.268072 0.571000
320 1.178088 0.560000
321 1.275848 0.564000
322 1.199073 0.573000
323 1.208467 0.566000
324 1.250149 0.578000
325 1.200343 0.566000
326 1.226532 0.570000
327 1.199237 0.562000
328 1.233649 0.573000
329 1.214188 0.580000
330 1.249340 0.573000
331 1.278890 0.563000
332 1.290916 0.574000
333 1.246589 0.567000
334 1.219485 0.570000
335 1.222078 0.587000
336 1.221915 0.582000
337 1.222377 0.574000
338 1.223913 0.577000
339 1.229040 0.580000
340 1.238431 0.586000
341 1.266456 0.591000
342 1.229276 0.570000
343 1.355046 0.588000
344 1.282210 0.596000
345 1.211977 0.583000
346 1.249913 0.577000
347 1.280691 0.591000
348 1.266384 0.583000
349 1.242281 0.587000
350 1.274191 0.581000
351 1.233333 0.592000
352 1.267395 0.584000
353 1.284511 0.578000
354 1.225858 0.581000
355 1.262588 0.603000
356 1.251838 0.588000
357 1.299033 0.595000
358 1.236306 0.576000
359 1.309007 0.587000
360 1.286489 0.589000
361 1.247628 0.596000
362 1.223010 0.594000
363 1.246743 0.595000
364 1.255551 0.596000
365 1.244768 0.590000
366 1.366953 0.609000
367 1.256955 0.587000
368 1.258245 0.601000
369 1.245792 0.604000
370 1.272672 0.605000
371 1.279657 0.604000
372 1.248361 0.594000
373 1.214458 0.595000
374 1.291990 0.601000
375 1.213706 0.585000
376 1.217631 0.597000
377 1.221674 0.599000
378 1.288282 0.616000
379 1.248043 0.604000
380 1.221274 0.606000
381 1.181308 0.597000
382 1.280195 0.601000
383 1.247799 0.612000
384 1.284505 0.619000
385 1.236576 0.611000
386 1.347863 0.617000
387 1.241489 0.603000
388 1.294149 0.606000
389 1.261617 0.595000
390 1.241892 0.609000
391 1.295802 0.600000
392 1.358864 0.624000
393 1.179725 0.593000
394 1.344916 0.601000
395 1.228276 0.598000
396 1.257819 0.624000
397 1.223355 0.603000
398 1.259616 0.611000
399 1.244113 0.607000
400 1.264083 0.607000
401 1.226219 0.611000
402 1.367889 0.623000
403 1.236074 0.608000
404 1.273785 0.615000
405 1.305381 0.632000
406 1.316821 0.609000
407 1.208841 0.617000
408 1.239944 0.619000
409 1.238600 0.617000
410 1.288134 0.618000
411 1.255847 0.629000
412 1.264749 0.617000
413 1.272291 0.629000
414 1.301342 0.611000
415 1.261959 0.617000
416 1.221858 0.620000
417 1.149096 0.599000
418 1.302077 0.614000
419 1.225601 0.601000
420 1.312472 0.618000
421 1.291559 0.623000
422 1.288347 0.614000
423 1.350736 0.626000
424 1.258157 0.627000
425 1.261642 0.619000
426 1.218100 0.613000
427 1.213824 0.608000
428 1.281397 0.621000
429 1.264366 0.623000
430 1.282718 0.613000
431 1.324385 0.636000
432 1.275793 0.625000
433 1.287754 0.630000
434 1.223367 0.619000
435 1.269300 0.619000
436 1.262403 0.619000
437 1.305379 0.616000
438 1.247292 0.624000
439 1.235964 0.616000
440 1.296796 0.630000
441 1.242252 0.622000
442 1.298081 0.636000
443 1.258923 0.637000
444 1.277420 0.626000
445 1.264320 0.634000
446 1.280034 0.638000
447 1.237325 0.613000
448 1.304831 0.627000
449 1.276476 0.620000
450 1.272080 0.624000
451 1.324070 0.629000
452 1.273124 0.641000
453 1.274786 0.641000
454 1.280639 0.634000
455 1.226824 0.625000
456 1.241523 0.642000
457 1.302414 0.631000
458 1.331247 0.631000
459 1.298678 0.628000
460 1.224775 0.624000
461 1.268423 0.634000
462 1.265573 0.616000
463 1.273391 0.636000
464 1.265003 0.635000
465 1.212302 0.612000
466 1.345072 0.630000
467 1.242698 0.633000
468 1.287910 0.644000
469 1.268061 0.626000
470 1.314933 0.643000
471 1.286537 0.640000
472 1.306568 0.626000
473 1.294458 0.636000
474 1.303083 0.644000
475 1.250322 0.630000
476 1.271650 0.647000
477 1.309684 0.629000
478 1.336900 0.641000
479 1.260716 0.631000
480 1.268254 0.645000
481 1.295444 0.638000
482 1.231503 0.642000
483 1.278626 0.632000
484 1.269770 0.645000
485 1.315910 0.657000
486 1.281626 0.637000
487 1.285556 0.641000
488 1.326004 0.634000
489 1.249572 0.650000
490 1.248011 0.631000
491 1.285858 0.642000
492 1.328270 0.648000
493 1.261464 0.636000
494 1.291484 0.635000
495 1.268823 0.632000
496 1.309033 0.646000
497 1.226061 0.625000
498 1.319911 0.639000
499 1.244389 0.647000
500 1.259130 0.631000
501 1.246112 0.643000
502 1.282422 0.626000
503 1.311235 0.627000
504 1.326051 0.637000
505 1.322489 0.650000
506 1.296547 0.654000
507 1.313280 0.644000
508 1.270590 0.642000
509 1.290681 0.648000
510 1.303008 0.644000
511 1.291200 0.648000
512 1.296192 0.649000
513 1.264265 0.644000
514 1.286531 0.644000
515 1.352861 0.649000
516 1.185443 0.631000
517 1.222168 0.650000
518 1.316632 0.649000
519 1.292345 0.652000
520 1.301306 0.646000
521 1.338529 0.661000
522 1.309627 0.638000
523 1.319479 0.659000
524 1.296414 0.656000
525 1.311564 0.648000
526 1.292462 0.646000
527 1.257018 0.640000
528 1.318865 0.651000
529 1.268572 0.631000
530 1.331836 0.656000
531 1.294890 0.654000
532 1.241709 0.649000
533 1.309736 0.656000
534 1.307158 0.646000
535 1.315846 0.648000
536 1.289162 0.637000
537 1.317314 0.633000
538 1.295224 0.664000
539 1.324921 0.650000
540 1.276519 0.640000
541 1.351959 0.641000
542 1.330064 0.656000
543 1.303432 0.646000
544 1.280644 0.650000
545 1.264660 0.638000
546 1.328422 0.655000
547 1.310091 0.647000
548 1.294812 0.632000
549 1.333325 0.657000
550 1.286890 0.657000
551 1.336081 0.649000
552 1.332912 0.647000
553 1.285115 0.635000
554 1.283795 0.650000
555 1.345517 0.656000
556 1.308154 0.650000
557 1.272908 0.639000
558 1.314060 0.644000
559 1.295900 0.656000
560 1.314583 0.655000
561 1.298509 0.661000
562 1.294403 0.648000
563 1.295869 0.642000
564 1.297904 0.659000
565 1.268389 0.655000
566 1.272665 0.651000
567 1.336033 0.651000
568 1.294325 0.650000
569 1.300324 0.661000
570 1.288635 0.653000
571 1.282610 0.639000
572 1.326046 0.654000
573 1.307313 0.649000
574 1.257468 0.649000
575 1.277487 0.652000
576 1.358855 0.662000
577 1.294823 0.648000
578 1.310410 0.663000
579 1.346627 0.654000
580 1.378927 0.668000
581 1.353184 0.670000
582 1.290578 0.669000
583 1.351021 0.665000
584 1.335599 0.669000
585 1.272954 0.673000
586 1.290719 0.679000
587 1.287438 0.662000
588 1.303098 0.671000
589 1.377337 0.678000
590 1.294647 0.668000
591 1.277651 0.667000
592 1.279072 0.669000
593 1.370811 0.655000
594 1.250136 0.672000
595 1.309008 0.672000
596 1.240831 0.665000
597 1.379005 0.675000
598 1.311804 0.674000
599 1.325877 0.680000
600 1.312343 0.672000
601 1.332202 0.669000
602 1.276180 0.656000
603 1.266593 0.672000
604 1.312117 0.679000
605 1.306729 0.675000
606 1.354031 0.677000
607 1.371078 0.686000
608 1.336352 0.671000
609 1.312273 0.677000
610 1.367667 0.678000
611 1.276102 0.657000
612 1.351168 0.661000
613 1.398408 0.689000
614 1.284808 0.670000
615 1.287180 0.664000
616 1.311464 0.687000
617 1.319473 0.678000
618 1.356376 0.671000
619 1.352834 0.670000
620 1.335902 0.677000
621 1.403276 0.677000
622 1.337647 0.675000
623 1.311250 0.678000
624 1.321821 0.668000
625 1.303525 0.681000
626 1.347572 0.682000
627 1.306152 0.667000
628 1.376913 0.670000
629 1.302614 0.680000
630 1.356504 0.689000
631 1.354364 0.693000
632 1.266121 0.659000
633 1.281162 0.671000
634 1.294017 0.682000
635 1.393773 0.680000
636 1.319256 0.672000
637 1.330711 0.691000
638 1.322731 0.679000
639 1.229809 0.678000
640 1.297176 0.670000
641 1.275362 0.689000
642 1.376579 0.682000
643 1.270050 0.673000
644 1.293180 0.658000
645 1.290666 0.681000
646 1.310334 0.676000
647 1.289929 0.685000
648 1.304031 0.676000
649 1.376969 0.688000
650 1.306365 0.666000
651 1.297450 0.689000
652 1.365735 0.697000
653 1.277902 0.677000
654 1.301573 0.678000
655 1.372566 0.694000
656 1.354644 0.708000
657 1.355050 0.683000
658 1.387205 0.697000
659 1.331224 0.686000
660 1.314702 0.687000
661 1.353897 0.685000
662 1.288008 0.689000
663 1.377729 0.679000
664 1.372800 0.682000
665 1.323755 0.687000
666 1.319589 0.689000
667 1.282940 0.684000
668 1.360567 0.695000
669 1.322523 0.682000
670 1.334863 0.674000
671 1.317089 0.695000
672 1.303709 0.685000
673 1.365929 0.694000
674 1.363396 0.693000
675 1.298238 0.682000
676 1.362483 0.697000
677 1.353881 0.707000
678 1.320242 0.696000
679 1.333281 0.688000
680 1.394197 0.704000
681 1.361090 0.692000
682 1.332806 0.694000
683 1.302298 0.684000
684 1.306841 0.679000
685 1.295446 0.687000
686 1.317692 0.683000
687 1.309886 0.685000
688 1.352212 0.696000
689 1.320204 0.692000
690 1.308414 0.698000
691 1.324550 0.695000
692 1.335965 0.696000
693 1.331784 0.680000
694 1.271704 0.687000
695 1.274448 0.690000
696 1.311033 0.684000
697 1.351870 0.691000
698 1.324325 0.707000
699 1.350252 0.693000
700 1.346822 0.696000
701 1.338127 0.691000
702 1.302051 0.681000
703 1.296853 0.690000
704 1.313352 0.694000
705 1.347111 0.693000
706 1.300898 0.690000
707 1.344070 0.694000
708 1.351646 0.700000
709 1.318998 0.700000
710 1.319404 0.717000
711 1.317408 0.700000
712 1.321852 0.690000
713 1.366776 0.717000
714 1.256483 0.682000
715 1.335412 0.688000
716 1.251148 0.690000
717 1.315948 0.695000
718 1.337498 0.707000
719 1.343943 0.699000
720 1.328261 0.702000
721 1.223126 0.688000
722 1.308529 0.693000
723 1.253355 0.695000
724 1.305430 0.700000
725 1.299975 0.705000
726 1.302024 0.692000
727 1.324879 0.705000
728 1.338050 0.704000
729 1.317316 0.698000
730 1.369300 0.710000
731 1.324570 0.684000
732 1.379004 0.694000
733 1.332110 0.717000
734 1.339372 0.713000
735 1.294536 0.704000
736 1.331992 0.696000
737 1.367774 0.716000
738 1.341225 0.698000
739 1.302962 0.701000
740 1.343461 0.706000
741 1.329023 0.706000
742 1.285770 0.710000
743 1.385058 0.703000
744 1.353277 0.709000
745 1.336723 0.711000
746 1.295562 0.704000
747 1.356168 0.707000
748 1.342017 0.715000
749 1.294510 0.699000
750 1.264128 0.713000
751 1.335529 0.699000
752 1.331921 0.708000
753 1.293107 0.705000
754 1.289590 0.704000
755 1.259483 0.700000
756 1.335355 0.710000
757 1.348340 0.716000
758 1.336295 0.701000
759 1.315481 0.702000
760 1.308146 0.701000
761 1.404015 0.704000
762 1.360047 0.709000
763 1.357405 0.707000
764 1.263022 0.704000
765 1.366574 0.690000
766 1.300827 0.697000
767 1.372178 0.711000
768 1.342094 0.705000
769 1.350291 0.703000
770 1.350499 0.707000
771 1.318526 0.712000
772 1.390221 0.704000
773 1.406659 0.698000
774 1.331669 0.702000
775 1.277475 0.696000
776 1.347356 0.703000
777 1.271426 0.699000
778 1.312991 0.704000
779 1.366775 0.702000
780 1.387975 0.704000
781 1.324395 0.704000
782 1.364365 0.710000
783 1.348126 0.710000
784 1.323932 0.699000
785 1.321186 0.693000
786 1.335088 0.706000
787 1.339790 0.714000
788 1.296003 0.714000
789 1.300427 0.691000
790 1.297297 0.707000
791 1.336724 0.717000
792 1.400052 0.718000
793 1.315862 0.719000
794 1.356342 0.723000
795 1.358459 0.714000
796 1.339502 0.719000
797 1.352858 0.724000
798 1.327577 0.713000
799 1.356972 0.721000
800 1.341609 0.711000
801 1.308670 0.717000
802 1.342044 0.715000
803 1.385804 0.711000
804 1.331407 0.711000
805 1.359055 0.720000
806 1.323539 0.722000
807 1.369418 0.717000
808 1.348192 0.707000
809 1.226335 0.697000
810 1.357636 0.701000
811 1.348451 0.715000
812 1.340659 0.697000
813 1.299635 0.705000
814 1.333585 0.725000
815 1.349834 0.725000
816 1.288762 0.718000
817 1.313306 0.707000
818 1.388950 0.730000
819 1.363663 0.704000
820 1.353726 0.723000
821 1.313853 0.705000
822 1.282985 0.706000
823 1.332847 0.717000
824 1.394533 0.729000
825 1.352114 0.724000
826 1.285109 0.704000
827 1.359181 0.722000
828 1.297822 0.703000
829 1.344866 0.714000
830 1.399479 0.727000
831 1.344205 0.719000
832 1.390333 0.743000
833 1.271356 0.695000
834 1.369419 0.702000
835 1.323538 0.717000
836 1.365097 0.725000
837 1.345239 0.704000
838 1.363108 0.707000
839 1.354266 0.719000
840 1.361540 0.715000
841 1.365712 0.716000
842 1.366568 0.718000
843 1.330968 0.720000
844 1.313743 0.729000
845 1.353623 0.719000
846 1.346872 0.713000
847 1.421840 0.731000
848 1.291334 0.724000
849 1.344502 0.705000
850 1.374159 0.712000
851 1.318612 0.716000
852 1.306186 0.724000
853 1.366285 0.712000
854 1.366633 0.704000
855 1.289631 0.719000
856 1.382369 0.731000
857 1.331200 0.724000
858 1.312522 0.707000
859 1.339688 0.718000
860 1.311220 0.712000
861 1.334604 0.730000
862 1.336508 0.727000
863 1.310010 0.716000
864 1.373093 0.724000
865 1.343811 0.721000
866 1.383716 0.723000
867 1.353637 0.713000
868 1.368466 0.731000
869 1.341193 0.726000
870 1.322595 0.738000
871 1.347680 0.734000
872 1.382679 0.728000
873 1.396483 0.729000
874 1.429716 0.734000
875 1.395865 0.733000
876 1.345828 0.711000
877 1.350808 0.731000
878 1.352740 0.743000
879 1.391425 0.734000
880 1.377673 0.731000
881 1.309250 0.735000
882 1.276806 0.726000
883 1.364223 0.747000
884 1.353347 0.730000
885 1.308851 0.720000
886 1.308317 0.736000
887 1.402147 0.732000
888 1.383403 0.735000
889 1.373920 0.725000
890 1.379376 0.732000
891 1.371073 0.727000
892 1.347914 0.736000
893 1.332659 0.734000
894 1.392464 0.731000
895 1.359264 0.731000
896 1.329360 0.718000
897 1.350924 0.717000
898 1.392815 0.733000
899 1.359933 0.733000
900 1.354723 0.739000
901 1.349744 0.719000
902 1.287460 0.725000
903 1.389503 0.733000
904 1.288234 0.720000
905 1.359466 0.722000
906 1.351263 0.733000
907 1.402643 0.732000
908 1.378561 0.726000
909 1.373505 0.741000
910 1.295959 0.727000
911 1.355842 0.733000
912 1.331667 0.727000
913 1.351142 0.723000
