# step avg_reward percentage_opt_action
265 1.227651 0.551000
266 1.126768 0.548000
267 1.204254 0.551000
268 1.176794 0.549000
269 1.182859 0.554000
270 1.191415 0.566000
271 1.231847 0.564000
272 1.210408 0.556000
273 1.177071 0.557000
274 1.135227 0.560000
275 1.209339 0.555000
276 1.174966 0.550000
277 1.223568 0.567000
278 1.204219 0.557000
279 1.191613 0.556000
280 1.171194 0.561000
281 1.216520 0.584000
282 1.132342 0.552000
283 1.231383 0.559000
284 1.193099 0.573000
285 1.311868 0.553000
286 1.232249 0.558000
287 1.218084 0.566000
288 1.185806 0.578000
289 1.268183 0.569000
290 1.209093 0.578000
291 1.226984 0.567000
292 1.205497 0.560000
293 1.276120 0.568000
294 1.242490 0.568000
295 1.252992 0.577000
296 1.098581 0.563000
297 1.284580 0.582000
298 1.213769 0.572000
299 1.199066 0.564000
300 1.146121 0.571000
301 1.129562 0.561000
302 1.194157 0.583000
303 1.213903 0.573000
304 1.157882 0.563000
305 1.201655 0.586000
306 1.246833 0.579000
307 1.234708 0.586000
308 1.216869 0.575000
309 1.202322 0.571000
310 1.185186 0.588000
311 1.187404 0.579000
312 1.143329 0.577000
313 1.247757 0.592000
314 1.200625 0.581000
315 1.166299 0.585000
316 1.221637 0.578000
317 1.246475 0.590000
318 1.246574 0.578000
319 1.221407 0.593000
320 1.218655 0.576000
321 1.182001 0.581000
322 1.193114 0.586000
323 1.142472 0.566000
324 1.265504 0.588000
325 1.289243 0.582000
326 1.207812 0.587000
327 1.211581 0.577000
328 1.170842 0.590000
329 1.235792 0.589000
330 1.252182 0.592000
331 1.187389 0.582000
332 1.233246 0.601000
333 1.196941 0.587000
334 1.214231 0.586000
335 1.184460 0.589000
336 1.221174 0.595000
337 1.212724 0.587000
338 1.214191 0.593000
339 1.222414 0.581000
340 1.198473 0.588000
341 1.202995 0.592000
342 1.206212 0.600000
343 1.240086 0.603000
344 1.253216 0.604000
345 1.204209 0.599000
346 1.258990 0.587000
347 1.164521 0.587000
348 1.259378 0.594000
